,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
33057,24m,Dpep2,3.992641,1.0352328,6.534143572025218e-05,0.012252261713862287,Limb-Muscle_macrophage
33053,24m,Slamf9,4.008689,0.9930276,6.105673405452445e-05,0.011994013912306046,Limb-Muscle_macrophage
3578,1m,Creb3l3,2.7821972,7.835244,0.0053992201187352245,0.01992230124759614,Limb-Muscle_mesenchymal stem cell
3623,1m,Acan,2.7544513,7.76632,0.005879065626411044,0.021462491571108105,Limb-Muscle_mesenchymal stem cell
165,1m,Col2a1,11.993892,5.3405027,3.8250221912049326e-33,1.2699535448103139e-31,Limb-Muscle_mesenchymal stem cell
3043,1m,Spink2,3.2294567,5.1475477,0.0012402568984300382,0.005281413956385563,Limb-Muscle_mesenchymal stem cell
2921,1m,Pycr1,3.339984,4.2169423,0.0008378322271976102,0.003703474305113251,Limb-Muscle_mesenchymal stem cell
3,1m,C1qtnf6,44.374317,3.7981076,0.0,0.0,Limb-Muscle_mesenchymal stem cell
2667,1m,Nrk,3.5979185,3.6715026,0.0003207741665409582,0.0015320099919225328,Limb-Muscle_mesenchymal stem cell
1892,1m,Tmem52,4.547197,3.6488512,5.4365123826600875e-06,3.485155043755793e-05,Limb-Muscle_mesenchymal stem cell
1119,1m,Fbn2,5.954072,3.533145,2.615518238918703e-09,2.5253754511642784e-08,Limb-Muscle_mesenchymal stem cell
57,1m,Cgref1,17.140915,3.4648979,7.348587560437724e-66,4.36183609117924e-64,Limb-Muscle_mesenchymal stem cell
49944,30m,Slfn8,7.40605,2.1860545,1.3011680792444555e-13,2.8029470594794727e-12,Limb-Muscle_mesenchymal stem cell
49731,30m,Ces1d,12.978823,2.0299237,1.6134173503230235e-38,9.787867535911842e-37,Limb-Muscle_mesenchymal stem cell
49932,30m,C7,7.6973376,1.9597834,1.3893071622916987e-14,3.201809704605492e-13,Limb-Muscle_mesenchymal stem cell
49505,30m,Mnda,35.56327,1.9501547,5.181322503792946e-277,2.137425065877185e-273,Limb-Muscle_mesenchymal stem cell
49517,30m,Inmt,30.074015,1.9255841,1.0598500736425378e-198,9.715881147319731e-196,Limb-Muscle_mesenchymal stem cell
49523,30m,Ifi203,28.006937,1.8825532,1.337588314348807e-172,9.19647698961236e-170,Limb-Muscle_mesenchymal stem cell
49509,30m,Ifi204,32.867767,1.7528055,6.349666757299358e-237,1.1641761240244079e-233,Limb-Muscle_mesenchymal stem cell
49503,30m,Ifi205,36.399635,1.7525721,4.313819026632148e-290,7.118232775845707e-286,Limb-Muscle_mesenchymal stem cell
