,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
19985,18m,Mt2,14.241641,98.27595,5.052644987011719e-46,3.8154193704202557e-44,Limb-Muscle_mesenchymal stem cell
19937,18m,Mgp,20.174717,95.86727,1.6329840092809731e-90,2.8200923847234896e-88,Limb-Muscle_mesenchymal stem cell
39735,24m,Malat1,21.001205,79.56129,6.394125624024312e-98,2.189436808502118e-95,Limb-Muscle_mesenchymal stem cell
174,1m,Malat1,15.039072,76.73916,4.072165112532217e-51,3.3557344039373373e-49,Limb-Muscle_mesenchymal stem cell
19860,18m,Tpt1,57.176987,70.133804,0.0,0.0,Limb-Muscle_mesenchymal stem cell
19880,18m,Fth1,34.97655,69.49592,5.11385949412054e-268,4.4157065023145186e-265,Limb-Muscle_mesenchymal stem cell
59607,30m,Dcn,12.119228,68.483284,8.354185025376002e-34,1.595328025038148e-31,Limb-Muscle_mesenchymal stem cell
19861,18m,Rplp1,56.3426,60.723244,0.0,0.0,Limb-Muscle_mesenchymal stem cell
19874,18m,S100a6,38.51502,48.8043,0.0,0.0,Limb-Muscle_mesenchymal stem cell
19862,18m,Rps12,54.28839,36.762333,0.0,0.0,Limb-Muscle_mesenchymal stem cell
39722,24m,Junb,29.597933,33.154606,1.5886369152127454e-192,1.7527960631180624e-189,Limb-Muscle_mesenchymal stem cell
39798,24m,Cxcl1,14.135739,33.05299,2.2871989245459772e-45,2.2376241695311875e-43,Limb-Muscle_mesenchymal stem cell
59648,30m,Apod,10.042564,32.25806,9.906479401582209e-24,1.0991211224325289e-21,Limb-Muscle_mesenchymal stem cell
20328,18m,Gsn,5.395341,32.17582,6.839351650073496e-08,1.0068904653110427e-06,Limb-Muscle_mesenchymal stem cell
19928,18m,Ftl1,20.801634,30.558538,4.18321449967422e-96,8.225607917181189e-94,Limb-Muscle_mesenchymal stem cell
40163,24m,Mt2,4.5868173,27.473444,4.500537643946426e-06,5.888055178443743e-05,Limb-Muscle_mesenchymal stem cell
20058,18m,Thbs4,10.226888,25.641855,1.5027073244854748e-24,6.090564788628883e-23,Limb-Muscle_mesenchymal stem cell
59711,30m,Cst3,7.5272303,24.856323,5.182788852435587e-14,2.94086247455345e-12,Limb-Muscle_mesenchymal stem cell
59602,30m,Rn45s,12.824629,23.01603,1.1935712847324712e-37,2.693673376680327e-35,Limb-Muscle_mesenchymal stem cell
39802,24m,Tnfaip6,13.875324,22.797018,8.938753651456177e-44,8.493954426694722e-42,Limb-Muscle_mesenchymal stem cell
59613,30m,Jun,11.60312,20.878124,3.9732349093156315e-31,6.630961789832642e-29,Limb-Muscle_mesenchymal stem cell
59651,30m,Fos,9.979308,20.796541,1.8777203155035202e-23,2.0267133405380388e-21,Limb-Muscle_mesenchymal stem cell
39734,24m,Cebpd,21.029564,19.190079,3.5187546619352296e-98,1.2260082032637484e-95,Limb-Muscle_mesenchymal stem cell
59617,30m,Hspa8,11.545789,18.961086,7.7527207345009365e-31,1.2416857563482952e-28,Limb-Muscle_mesenchymal stem cell
39767,24m,Ubc,16.675137,18.455807,1.9875711326904127e-62,3.1578530156185277e-60,Limb-Muscle_mesenchymal stem cell
60186,30m,Fmod,2.9948132,18.330847,0.00274612884033788,0.02818507429928181,Limb-Muscle_mesenchymal stem cell
59594,30m,Hsp90aa1,14.750609,17.909075,3.0489731041040176e-49,1.1425019971227506e-46,Limb-Muscle_mesenchymal stem cell
5,1m,Meg3,50.35782,16.618895,0.0,0.0,Limb-Muscle_mesenchymal stem cell
34,1m,Rpl41,24.007677,16.22574,2.3120319653327694e-127,9.003324476766431e-125,Limb-Muscle_mesenchymal stem cell
10,1m,Serpinh1,39.085094,16.215525,0.0,0.0,Limb-Muscle_mesenchymal stem cell
45,1m,Mfap4,21.544243,12.760485,5.995617781582493e-103,1.7010424163175474e-100,Limb-Muscle_mesenchymal stem cell
398,1m,Actb,10.918772,12.195285,9.375534291591723e-28,3.533170987305723e-26,Limb-Muscle_mesenchymal stem cell
59580,30m,Malat1,14.960919,300.53363,1.3218665410640134e-50,2.6252269505531306e-46,Limb-Muscle_skeletal muscle satellite cell
39723,24m,Mt1,10.031616,189.01854,1.1068987741923033e-23,1.6910007427276263e-20,Limb-Muscle_skeletal muscle satellite cell
39743,24m,Mt2,7.4017577,137.79468,1.3439348900244821e-13,4.170397955607221e-11,Limb-Muscle_skeletal muscle satellite cell
19940,18m,Mt2,5.9669404,126.850174,2.4174398168370238e-09,2.2753722636200614e-07,Limb-Muscle_skeletal muscle satellite cell
19860,18m,Tpt1,23.54421,116.51526,1.4390640957736484e-122,2.8579812942064656e-118,Limb-Muscle_skeletal muscle satellite cell
59643,30m,Mt1,4.6852493,93.27811,2.796192623173262e-06,0.00039665989640157845,Limb-Muscle_skeletal muscle satellite cell
19958,18m,Mt1,4.613866,91.41103,3.952472936963159e-06,0.00021926288415667137,Limb-Muscle_skeletal muscle satellite cell
39752,24m,Malat1,6.789432,88.68161,1.1257566334531366e-11,2.693677920527626e-09,Limb-Muscle_skeletal muscle satellite cell
39729,24m,Cxcl1,9.025332,84.29328,1.7915099365379618e-19,1.1859795779881308e-16,Limb-Muscle_skeletal muscle satellite cell
19862,18m,Rplp1,21.215887,74.992775,6.812927278701719e-100,3.3826183938754037e-96,Limb-Muscle_skeletal muscle satellite cell
59662,30m,Mt2,4.0288625,70.03603,5.604742421594582e-05,0.005275364193974805,Limb-Muscle_skeletal muscle satellite cell
19861,18m,Rps12,21.454077,57.299423,4.1832997431743694e-102,2.7693444299814324e-98,Limb-Muscle_skeletal muscle satellite cell
19884,18m,Eef1a1,12.535003,46.5953,4.803473082341122e-36,3.533221311677581e-33,Limb-Muscle_skeletal muscle satellite cell
19863,18m,Rps21,20.84186,41.649017,1.8067966284053732e-96,7.176596208026142e-93,Limb-Muscle_skeletal muscle satellite cell
19867,18m,Rpl23,17.975885,41.316208,3.010172476461972e-72,6.642447264726085e-69,Limb-Muscle_skeletal muscle satellite cell
19864,18m,Rpl12,20.463436,39.891987,4.560885143746131e-93,1.5096529825799693e-89,Limb-Muscle_skeletal muscle satellite cell
5,1m,Rplp0,15.960804,33.869076,2.3962551551088932e-57,5.287736375606958e-54,Limb-Muscle_skeletal muscle satellite cell
19866,18m,Rplp2,17.98508,33.043407,2.550131915558143e-72,6.33070248037309e-69,Limb-Muscle_skeletal muscle satellite cell
39738,24m,Actg1,7.886806,29.043291,3.1001907643448087e-15,1.231395771597758e-12,Limb-Muscle_skeletal muscle satellite cell
32,1m,Gnas,9.782449,21.833027,1.3392968738504088e-22,5.115083829744061e-20,Limb-Muscle_skeletal muscle satellite cell
59628,30m,Actg1,5.1014585,20.40129,3.3704604913934595e-07,6.141040858630652e-05,Limb-Muscle_skeletal muscle satellite cell
1096,1m,Cdkn1c,3.4780226,18.896065,0.0005051275700223874,0.008057697623007723,Limb-Muscle_skeletal muscle satellite cell
59593,30m,Hspa5,7.485796,18.802809,7.111487569330712e-14,6.419733778495815e-11,Limb-Muscle_skeletal muscle satellite cell
0,1m,Sparc,24.249928,17.602112,6.6238771134651624e-130,6.577509973670906e-126,Limb-Muscle_skeletal muscle satellite cell
39737,24m,Cebpd,7.933401,17.077637,2.1322445347506763e-15,8.64211764492825e-13,Limb-Muscle_skeletal muscle satellite cell
6,1m,Meg3,15.548412,16.608034,1.6309993004826348e-54,2.944695100689557e-51,Limb-Muscle_skeletal muscle satellite cell
39730,24m,Apoe,8.736213,16.409243,2.410553364040594e-18,1.3678168517098913e-15,Limb-Muscle_skeletal muscle satellite cell
39813,24m,Hspa8,4.4747596,16.250376,7.649726914219038e-06,0.0006277833740346698,Limb-Muscle_skeletal muscle satellite cell
59581,30m,Ddx5,10.692109,15.255761,1.1082207669470573e-26,7.336421477189519e-23,Limb-Muscle_skeletal muscle satellite cell
39720,24m,Ccl19,13.241336,14.732224,5.06399253582597e-40,5.028544588075188e-36,Limb-Muscle_skeletal muscle satellite cell
59615,30m,Junb,5.540848,14.609214,3.010111148326681e-08,7.567190810856695e-06,Limb-Muscle_skeletal muscle satellite cell
59631,30m,Hsp90aa1,5.085393,14.185797,3.668655796359264e-07,6.447743727052654e-05,Limb-Muscle_skeletal muscle satellite cell
59653,30m,Fos,4.31804,13.785918,1.5742101454981836e-05,0.0016718616839355041,Limb-Muscle_skeletal muscle satellite cell
39824,24m,Actb,4.2927713,13.768654,1.7645677361541987e-05,0.0013027626483279697,Limb-Muscle_skeletal muscle satellite cell
1,1m,Col3a1,23.989443,11.88905,3.5839841443770924e-127,2.3725975035776353e-123,Limb-Muscle_skeletal muscle satellite cell
20,1m,Hspe1,11.022405,11.59842,2.9799163609906933e-28,1.849410591539849e-25,Limb-Muscle_skeletal muscle satellite cell
59704,30m,Cebpd,3.4477532,11.386555,0.0005652701863884237,0.033814053920705106,Limb-Muscle_skeletal muscle satellite cell
98,1m,Rps2,7.7344713,11.125149,1.0383379462556764e-14,1.5741520314990636e-12,Limb-Muscle_skeletal muscle satellite cell
1281,1m,Myog,3.219174,9.716149,0.001285605020330355,0.017657064802047616,Limb-Muscle_skeletal muscle satellite cell
43,1m,Cryab,9.076298,9.317387,1.1233070901621081e-19,3.32968340457007e-17,Limb-Muscle_skeletal muscle satellite cell
