,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Egln3,-0.063102276,0.027144796,Limb-Muscle_skeletal muscle satellite cell,0.063102276
Wdtc1,-0.063092363,0.027168972,Limb-Muscle_skeletal muscle satellite cell,0.063092363
A830080D01Rik,-0.06307021,0.027223068,Limb-Muscle_skeletal muscle satellite cell,0.06307021
Ppp2r3d,-0.063066247,0.027232753,Limb-Muscle_skeletal muscle satellite cell,0.063066247
Cstf2t,-0.063065658,0.027234195,Limb-Muscle_skeletal muscle satellite cell,0.063065658
Acot2,-0.063065216,0.027235275,Limb-Muscle_skeletal muscle satellite cell,0.063065216
Rnf26,-0.063041568,0.027293145,Limb-Muscle_skeletal muscle satellite cell,0.063041568
Fam82b,-0.063031172,0.027318619,Limb-Muscle_skeletal muscle satellite cell,0.063031172
Csf1r,-0.063018117,0.027350639,Limb-Muscle_skeletal muscle satellite cell,0.063018117
Dcps,-0.062986481,0.027428363,Limb-Muscle_skeletal muscle satellite cell,0.062986481
Ephb4,-0.062984283,0.02743377,Limb-Muscle_skeletal muscle satellite cell,0.062984283
Cdan1,-0.062979498,0.027445545,Limb-Muscle_skeletal muscle satellite cell,0.062979498
Pigz,-0.06295775,0.027499117,Limb-Muscle_skeletal muscle satellite cell,0.06295775
Tpi1,-0.062956551,0.027502074,Limb-Muscle_skeletal muscle satellite cell,0.062956551
Dnm1l,-0.062954853,0.027506261,Limb-Muscle_skeletal muscle satellite cell,0.062954853
Slc35e3,-0.062951857,0.027513648,Limb-Muscle_skeletal muscle satellite cell,0.062951857
D17Wsu92e,-0.062951676,0.027514095,Limb-Muscle_skeletal muscle satellite cell,0.062951676
