,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Sin3b,-0.102333604,3.06E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102333604
Fbxo44,0.102269076,3.11E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102269076
Ccdc72,-0.102203559,3.15E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102203559
Dcaf11,-0.102187193,3.17E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102187193
Dach1,-0.102185597,3.17E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102185597
Fzd1,-0.10215152,3.19E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10215152
Slc25a1,-0.102134624,3.20E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102134624
Mpst,0.102077429,3.24E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102077429
Exosc7,-0.102049994,3.26E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102049994
Rpl17,0.1020299,3.28E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.1020299
Gcat,0.101892478,3.38E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101892478
Afap1l2,-0.101879585,3.39E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101879585
2700078E11Rik,0.101841171,3.42E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101841171
Pax2,0.101792547,3.46E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101792547
Mrps12,0.10179086,3.46E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10179086
Adrb2,-0.101773679,3.47E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101773679
Nr1d1,-0.101731493,3.50E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101731493
Tmem109,-0.101639849,3.58E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101639849
Sertad1,-0.101633609,3.58E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101633609
Fam134b,-0.101623029,3.59E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101623029
4632415L05Rik,0.101601219,3.61E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101601219
Tab2,0.101584883,3.62E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101584883
Bcl2,0.101576362,3.63E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101576362
Sesn3,0.101573715,3.63E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101573715
Vegfa,0.10156935,3.63E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10156935
Trpc1,0.101545506,3.65E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101545506
Sgk3,0.10153204,3.66E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10153204
Pigt,-0.101514957,3.68E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101514957
Psmb3,-0.101504383,3.68E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101504383
Lman1,-0.101480849,3.70E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101480849
Sil1,-0.101441533,3.74E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.101441533
